1,Kolkata Knight Riders,Royal Challengers Bangalore,Chennai Super Kings,Kings XI Punjab,Rajasthan Royals,Delhi Daredevils,Mumbai Indians,Deccan Chargers,Kochi Tuskers Kerala,Pune Warriors,Sunrisers Hyderabad,Rising Pune Supergiants,Gujarat Lions
BattingFirst,0.1334247903611607,0.1278674890590277,0.449126633729125,0.16728213900972094,0.17229753398385073,0.2258806334117207,0.1417188890317696,0.1153877722781315,0.4847619047619048,0.3274424917188076,0.3012041362045977,0.5022222222222222,0.10459183673469379
BoundariesMajority,0.25617191516172544,0.4580238994622413,0.04252116497479977,0.15789013249471487,0.20094223050884186,0.08720198318415763,0.2705618178688366,0.15944090346769044,0.0,0.2072329721362228,0.2386385042129014,0.21866666666666665,0.27267857142857144
Wontoss,0.09553255163630288,0.1807757662553691,0.03802133023725842,0.2924227033224095,0.0987796610594745,0.18490750591057767,0.14902649404034124,0.278697532196189,0.10476190476190476,0.18604435038645573,0.08193515344125943,0.1311111111111111,0.09413265306122454
scorerange,0.514870742840811,0.2333328452233619,0.4703308710588169,0.38240502517315467,0.5279805744478329,0.502009877493544,0.4386927990590525,0.4464737920579891,0.4104761904761904,0.27928018575851377,0.3782222061412416,0.14800000000000005,0.5285969387755103
