BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
True,True,335988,True,d,True
True,True,335994,False,c,True
False,True,335998,False,b,True
True,True,336001,True,c,True
True,True,336006,False,c,False
True,True,336010,False,b,False
True,True,336012,True,b,False
False,True,336014,True,c,True
True,True,336018,False,c,True
True,True,336023,True,b,False
False,True,336030,False,a,True
False,True,336034,True,a,False
False,True,336038,True,c,False
False,True,336042,False,b,True
False,True,336044,False,b,True
True,False,336045,True,c,False
False,True,392186,False,b,False
True,True,392190,True,c,True
False,True,392194,True,c,False
True,True,392201,True,c,False
True,True,392207,False,d,True
True,True,392211,False,c,True
True,True,392214,True,c,True
True,True,392219,True,c,True
False,True,392222,False,b,True
True,True,392229,False,b,False
False,True,392232,False,b,True
True,True,392236,False,c,False
True,True,392239,True,b,True
True,False,392243,True,b,False
False,True,419115,True,c,False
True,True,419118,True,c,True
False,True,419121,False,c,True
False,True,419126,False,b,False
False,True,419128,False,b,False
True,True,419130,True,c,False
False,True,419134,True,c,False
False,True,419138,False,c,True
True,True,419142,True,d,True
True,False,419147,True,b,True
True,False,419152,False,b,False
False,True,419158,False,b,True
True,False,419160,False,b,False
False,True,419164,True,c,True
True,True,419168,True,b,True
True,True,419170,True,c,True
True,True,501203,True,b,True
True,True,501211,True,c,False
True,True,501216,True,c,True
True,True,501220,True,b,False
False,True,501226,False,b,False
True,False,501231,False,b,True
False,False,501233,False,b,True
True,True,501241,True,c,True
False,False,501245,False,b,True
True,False,501250,False,b,False
True,True,501254,False,c,True
True,True,501258,True,c,True
True,True,501266,True,b,True
True,True,501271,True,b,False
False,True,501273,True,c,True
True,True,501276,True,c,True
True,False,548311,True,a,False
True,True,548316,False,c,True
True,False,548321,True,b,False
False,True,548323,False,d,True
True,True,548327,False,b,False
True,True,548335,False,c,True
False,False,548337,False,b,True
False,True,548348,True,b,False
True,False,548352,False,b,False
True,False,548357,True,c,True
True,True,548360,True,c,False
False,True,548366,True,b,True
False,True,548369,True,b,True
False,True,548373,True,c,True
True,True,548376,True,b,False
True,True,548384,False,c,True
True,True,548385,False,d,True
True,True,548386,False,c,False
False,True,598007,True,b,False
False,True,598012,True,b,True
False,False,598017,True,c,True
False,False,598020,True,b,False
True,True,598025,True,c,True
False,True,598027,False,b,True
False,True,598031,False,c,True
False,True,598035,False,c,True
True,True,598039,False,c,True
True,True,598043,True,c,True
True,True,598046,True,c,True
False,False,598051,True,a,False
True,True,598056,False,d,True
True,False,598063,True,b,False
True,False,598067,True,c,True
False,True,598073,False,a,False
True,True,598075,True,c,True
False,True,598078,True,b,False
True,True,729288,False,c,False
True,True,729298,True,c,True
True,False,729302,False,b,True
False,True,729308,False,b,True
False,True,729316,False,b,True
True,True,733976,True,b,True
False,True,733986,True,c,True
False,True,733992,False,c,False
False,True,734000,True,b,True
False,False,734008,False,b,True
True,False,734018,False,b,False
True,True,734028,True,c,False
True,True,734034,True,c,False
False,True,734040,True,c,True
False,True,734050,True,c,True
False,True,734052,False,c,False
True,True,829712,False,b,True
True,True,829716,True,c,True
True,True,829728,True,b,False
False,True,829734,False,c,True
True,True,829740,False,b,False
True,True,829750,False,c,True
True,True,829758,True,c,True
True,True,829770,False,b,True
False,True,829778,False,c,False
True,True,829784,True,b,True
True,True,829794,False,c,False
True,True,829802,True,b,True
True,True,829806,False,b,False
False,True,829814,False,b,True
False,True,829822,True,c,False
False,False,829826,True,b,True
False,True,829828,False,c,False
