BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
True,True,335989,False,b,False
False,True,335992,False,c,True
False,True,335995,True,d,True
False,True,335997,True,b,True
True,True,336005,True,c,True
False,True,336010,False,a,True
True,False,336013,True,a,False
False,True,336016,True,b,True
False,True,336020,True,b,True
False,True,336024,False,c,False
True,True,336028,False,c,True
False,True,336032,True,b,True
True,True,336038,True,d,True
False,False,336041,True,b,True
True,True,336043,False,c,True
False,True,336045,True,b,True
False,False,392187,True,a,False
True,True,392195,False,c,True
False,False,392200,True,b,False
False,True,392203,False,b,True
False,False,392207,False,a,False
False,True,392210,False,b,True
True,True,392215,False,d,True
False,True,392218,True,b,True
True,True,392222,False,b,False
False,False,392225,True,b,False
True,True,392230,True,b,True
False,False,392235,True,b,False
True,False,392238,True,a,False
False,True,419112,True,d,False
True,True,419116,True,b,False
True,False,419120,True,a,False
True,True,419123,True,c,True
True,True,419129,False,c,True
False,True,419131,False,b,True
True,True,419134,True,c,True
False,True,419139,True,b,False
False,True,419142,True,d,False
True,True,419146,True,b,True
False,True,419148,False,b,True
False,False,419155,False,b,False
True,True,419159,False,b,False
True,True,419163,False,b,False
False,True,501204,True,b,True
False,True,501209,False,b,True
True,False,501214,True,b,False
True,False,501219,True,a,False
False,True,501225,False,b,False
False,True,501230,True,b,True
False,False,501236,True,a,True
False,True,501240,True,b,True
True,True,501245,False,b,False
False,False,501254,False,b,False
True,False,501257,True,b,False
True,True,501263,True,a,False
False,True,501268,False,b,True
True,True,548314,False,c,True
True,True,548317,False,c,True
False,True,548322,False,c,False
True,True,548325,False,b,False
True,True,548329,True,c,True
False,True,548331,False,c,True
True,True,548337,False,b,False
False,False,548341,False,b,False
False,True,548350,True,b,False
True,True,548354,False,b,False
True,True,548359,True,c,True
False,True,548363,False,b,True
True,True,548366,True,b,False
True,True,548370,True,c,True
True,False,548378,False,b,False
True,True,548382,False,b,False
True,True,598006,True,c,True
True,True,598010,False,b,True
True,True,598014,False,b,False
False,True,598019,True,b,True
True,True,598024,True,c,True
True,True,598028,True,b,False
True,True,598031,False,c,False
False,True,598037,False,b,True
False,True,598041,True,c,True
True,False,598048,False,b,False
False,True,598052,False,c,True
False,False,598054,False,b,True
False,True,598057,True,b,True
False,True,598063,True,b,True
False,True,598068,False,b,False
False,False,598070,True,b,False
False,True,598076,False,b,True
True,True,598077,False,c,False
False,False,729290,True,b,True
True,True,729296,True,c,False
False,False,729302,False,b,False
False,True,729310,True,a,True
True,False,729320,True,c,True
False,True,733980,True,c,True
True,True,733984,False,c,True
False,False,733994,False,a,False
False,True,734004,False,c,True
True,True,734008,False,b,False
True,True,734016,False,c,True
False,True,734022,True,b,False
False,True,734038,False,c,False
True,True,734046,True,c,False
True,True,829714,False,b,True
False,True,829720,True,c,True
False,False,829726,False,c,True
False,False,829732,True,b,True
False,True,829740,False,c,True
True,True,829746,True,c,False
True,False,829754,True,b,False
False,False,829768,False,a,False
False,True,829774,False,c,False
True,True,829782,False,c,True
False,True,829792,False,c,False
False,False,829802,True,b,False
True,True,829816,True,c,True
False,False,829824,True,b,False
