BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
False,False,335987,False,a,False
False,True,335990,False,c,True
True,True,335997,True,b,False
False,True,336001,True,c,False
False,True,336003,False,c,False
False,True,336007,False,c,True
True,True,336011,True,b,False
False,True,336015,True,b,False
True,True,336017,True,b,False
True,False,336021,False,b,False
False,True,336028,False,b,False
True,True,336031,True,b,False
True,True,336034,True,b,True
True,True,336039,False,c,True
True,True,392187,True,b,True
False,True,392190,True,a,False
False,True,392193,True,c,False
True,True,392196,False,c,False
True,False,392199,False,b,False
False,False,392204,False,b,True
True,True,392209,True,b,True
False,True,392213,False,b,True
True,False,392218,True,a,False
False,False,392223,True,b,False
False,True,392226,True,c,True
False,True,392229,False,b,True
False,False,392237,False,b,True
True,True,392241,True,c,True
False,True,392243,True,b,True
False,True,392244,False,b,False
True,False,419114,True,b,False
False,True,419117,False,c,True
False,True,419120,True,a,True
False,True,419124,False,c,True
True,True,419128,False,c,True
False,True,419133,False,b,False
True,True,419138,False,c,False
False,True,419141,False,c,True
False,False,419145,True,b,False
True,True,419150,True,c,False
False,True,419153,True,c,True
False,False,419156,False,b,False
False,True,419159,False,b,True
False,False,419162,False,b,False
False,False,419167,True,b,False
False,True,419169,False,a,True
False,True,501205,False,b,True
True,True,501210,True,b,False
False,False,501213,False,b,False
False,True,501216,True,c,False
False,True,501227,True,c,True
False,True,501232,True,b,True
True,True,501237,False,c,True
True,True,501249,False,c,True
False,True,501252,False,b,True
False,True,501257,True,b,True
False,True,501260,True,a,True
False,True,501265,True,b,False
False,True,501271,True,b,True
True,True,501273,True,c,False
True,True,501275,False,c,True
False,False,501276,True,b,False
True,True,548315,False,c,True
False,False,548320,False,b,False
True,True,548323,False,c,False
False,True,548329,True,b,False
False,True,548332,False,c,True
False,True,548336,True,c,True
True,True,548341,False,c,True
False,True,548349,True,b,False
True,True,548355,True,c,False
False,True,548361,True,c,True
False,True,548365,True,b,True
True,True,548367,False,c,True
True,True,548372,True,c,False
True,True,548377,False,d,True
False,True,548381,False,b,False
True,True,598004,False,b,True
True,False,598009,False,b,False
False,True,598013,True,b,True
True,False,598017,True,c,False
False,True,598022,True,c,True
False,True,598028,True,b,True
True,True,598032,False,d,True
False,True,598038,True,b,False
True,True,598041,True,c,False
True,True,598047,True,c,True
True,True,598050,True,c,False
False,True,598053,False,c,True
True,True,598059,False,c,True
True,False,598062,True,b,False
True,True,598069,True,c,False
True,True,598073,False,b,True
False,True,729286,True,b,True
False,False,729292,True,b,True
False,True,729304,False,b,False
True,False,729310,True,a,False
True,False,729318,True,b,False
False,True,733982,True,c,True
False,True,733988,False,c,False
False,True,733996,False,c,False
True,True,734004,False,c,False
True,True,734010,False,c,True
False,True,734018,False,b,True
True,True,734026,False,c,False
False,True,734032,False,c,False
True,True,734040,True,b,False
False,True,829718,True,c,True
True,True,829724,True,b,False
False,True,829742,False,c,False
False,True,829750,False,b,False
False,False,829754,True,b,True
False,True,829762,True,a,True
True,True,829768,False,c,False
False,True,829776,True,b,True
False,True,829784,True,b,False
True,True,829790,False,d,True
True,True,829800,True,d,True
False,False,829808,False,a,False
False,True,829812,False,a,True
False,False,829818,False,a,False
True,True,829824,True,c,True
True,True,829826,True,b,False
True,True,980912,False,d,True
True,True,980926,True,c,False
True,True,980932,True,c,False
True,True,980936,False,c,True
True,True,980942,False,c,False
False,True,980958,False,c,False
True,True,980964,True,c,False
False,True,980974,True,c,True
True,False,980982,False,c,True
True,True,980986,True,b,False
True,True,980992,False,d,True
False,True,981000,True,c,True
True,True,981004,False,d,True
False,False,981016,True,b,True
False,True,981018,True,b,True
False,True,981024,True,c,False
