BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
False,True,335988,True,c,False
True,True,335992,False,c,False
True,True,335996,False,c,True
False,True,336000,False,c,True
False,True,336004,True,c,True
True,True,336008,True,c,True
False,True,336011,True,b,True
False,True,336018,False,c,False
False,True,336021,False,b,True
True,True,336024,False,d,True
False,True,336027,False,a,True
True,True,336033,False,c,True
False,True,336036,True,c,True
True,True,336040,False,c,False
True,True,336044,False,b,False
True,True,392188,True,a,False
True,True,392191,True,b,False
False,True,392196,False,c,True
True,True,392200,True,b,True
True,False,392205,True,b,True
False,True,392209,True,b,False
False,True,392212,False,b,True
False,True,392215,False,b,False
False,True,392219,True,c,False
False,True,392221,True,c,True
True,True,392227,False,b,False
False,True,392231,True,b,True
True,False,392234,False,b,True
False,False,392239,True,a,False
True,True,419113,True,b,False
True,True,419117,False,c,False
False,True,419122,False,c,False
True,True,419126,False,b,True
False,True,419129,False,b,False
False,True,419132,True,b,False
True,False,419137,True,b,False
True,True,419141,False,c,False
False,True,419144,False,c,True
True,True,419148,False,b,False
False,True,419151,False,c,True
False,True,419154,False,b,True
True,True,419161,True,c,False
True,True,419164,True,c,False
True,True,501207,False,b,False
False,True,501211,True,c,True
False,True,501217,True,c,True
True,True,501225,False,c,True
False,True,501228,False,c,False
True,False,501239,True,b,False
False,False,501242,False,b,False
False,False,501249,False,b,False
True,False,501253,False,b,False
True,True,501256,False,b,True
False,True,501259,True,c,True
True,True,501262,False,c,True
True,True,501265,True,d,True
False,True,501269,False,b,False
False,True,548314,False,c,False
False,True,548318,True,b,False
False,True,548324,True,b,True
True,False,548328,False,b,True
True,False,548333,False,b,False
True,False,548336,True,c,False
False,True,548339,False,c,True
True,True,548344,False,c,False
True,True,548348,True,c,True
False,True,548355,True,c,True
False,True,548359,True,b,False
True,True,548364,False,c,True
False,True,548371,False,c,True
True,True,548374,False,b,False
False,True,548376,True,b,True
True,True,548379,True,b,False
False,True,598008,False,a,True
True,True,598012,True,b,False
True,True,598019,True,b,False
True,True,598021,False,c,True
True,True,598026,False,b,False
False,True,598030,True,c,True
True,True,598033,False,c,True
True,True,598036,False,b,False
False,True,598042,True,c,False
False,True,598046,True,c,False
False,True,598050,True,c,True
True,False,598057,True,b,False
False,True,598061,False,b,False
False,True,598064,True,b,True
False,True,598069,True,c,True
True,True,598071,False,c,True
False,True,729288,False,c,True
False,True,729296,True,c,True
True,True,729300,False,c,True
True,False,729312,False,b,True
False,False,729318,True,b,True
True,True,733978,False,c,False
True,True,733992,False,d,True
True,True,733996,False,c,True
True,True,734002,True,b,False
False,True,734012,True,d,True
False,True,734024,True,b,True
True,True,734030,True,b,False
True,True,734038,False,c,True
False,True,734044,True,b,True
False,True,734048,False,b,False
True,True,734052,False,d,True
True,True,734054,True,c,False
False,True,829714,False,b,False
True,True,829722,False,c,True
True,True,829730,False,c,False
True,True,829738,True,b,False
False,True,829746,True,c,True
False,False,829758,True,a,False
False,False,829764,False,b,False
True,False,829772,True,b,False
False,False,829780,True,b,False
False,True,829790,False,a,False
True,True,829796,False,c,False
False,True,829804,True,c,False
True,True,829808,False,b,True
True,True,829814,False,b,False
True,True,980910,True,c,False
True,True,980918,True,b,False
False,True,980924,False,c,True
True,False,980930,True,b,False
True,True,980940,True,b,False
False,False,980946,False,c,False
True,False,980960,False,b,True
False,True,980968,False,b,False
True,True,980976,False,c,True
False,True,980982,False,c,False
False,True,980990,False,b,True
True,True,980996,False,c,False
False,True,981004,False,b,False
True,True,981010,False,c,False
